objectid,species,sp_kor,long,lat,조사일자,조사년도,시도명
1729,"Bombina orientalis (Boulenger, 1890)",무당개구리,128.964194,35.062167,2018,2018,부산광역시
17909,"Rana dybowskii G?nther, 1876",북방산개구리,129.244611,35.296044,2018,2018,부산광역시
7868,"Hynobius leechii Boulenger, 1887",도롱뇽,128.889417,35.121167,2018,2018,부산광역시
17905,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.178269,35.342872,2018,2018,부산광역시
12535,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,129.132739,35.362247,2018,2018,부산광역시
2874,"Hynobius leechii Boulenger, 1887",도롱뇽,129.069772,35.283744,2018,2018,부산광역시
17917,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.268092,35.334758,2018,2018,부산광역시
15110,"Pelophylax nigromaculatus (Hallowell, 1861)",참개구리,129.158233,35.307878,2018,2018,부산광역시
17922,"Elaphe dione (Pallas, 1773)",누룩뱀,129.268092,35.334758,2018,2018,부산광역시
4389,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,129.245728,35.356683,2018,2018,부산광역시
2877,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,129.069772,35.283744,2018,2018,부산광역시
4392,"Takydromus wolteri (Fischer, 1885)",줄장지뱀,129.245728,35.356683,2018,2018,부산광역시
4388,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.245728,35.356683,2018,2018,부산광역시
4383,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.245728,35.356683,2018,2018,부산광역시
17921,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,129.268092,35.334758,2018,2018,부산광역시
17908,"Hyla japonica G?nther, 1859",청개구리,129.132739,35.362247,2018,2018,부산광역시
4390,"Dinodon rufozonatum (Cantor, 1842)",능구렁이,129.245728,35.356683,2018,2018,부산광역시
4399,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,129.245728,35.356683,2018,2018,부산광역시
4398,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,129.245728,35.356683,2018,2018,부산광역시
