"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",107.235695,43.188632,"Omnogovi",2018,8,26,"cdround","https://www.inaturalist.org/observations/18024604","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1948739264","18024604",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",108.593453,45.7169,"Dornogovi",2018,8,23,"cdround","https://www.inaturalist.org/observations/15870870","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1949981038","15870870",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",108.957625,44.994923,"Dornogovi",2018,8,26,"cdround","https://www.inaturalist.org/observations/110412236","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3760006920","110412236",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",103.715885,44.139831,"Omnogovi",2018,9,21,"cdround","https://www.inaturalist.org/observations/16956061","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1948736393","16956061",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",100.924881,45.028891,"Bayanhongor",2017,4,30,"cdround","https://www.inaturalist.org/observations/63689411","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097052443","63689411",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",107.339011,42.788065,"Omnogovi",2017,5,23,"cdround","https://www.inaturalist.org/observations/8276566","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1668902196","8276566",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",102.691637,44.05212,"Omnogovi",2017,6,17,"cdround","https://www.inaturalist.org/observations/71814186","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067809415","71814186",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",100.026889,43.538022,"Omnogovi",2014,8,22,"cdround","https://www.inaturalist.org/observations/48515269","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","2813915618","48515269",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",101.024961,44.902119,"Bayanhongor",2014,8,25,"cdround","https://www.inaturalist.org/observations/46345190","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3013906436","46345190",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",101.037083,44.913589,"Bayanhongor",2014,8,25,"cdround","https://www.inaturalist.org/observations/46345189","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3873375360","46345189",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",106.889012,43.054178,"Omnogovi",2013,8,6,"cdround","https://www.inaturalist.org/observations/504801","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","891034459","504801",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",103.369138,42.849569,"Omnogovi",2013,8,19,"","https://www.inaturalist.org/observations/612610","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1948790315","612610",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",106.670847,43.105928,"Omnogovi",2013,8,6,"cdround","https://www.inaturalist.org/observations/504793","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881571301","504793",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",111.849684,43.748959,"Dornogovi",2012,8,11,"cdround","https://www.inaturalist.org/observations/101700731","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873017515","101700731",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",108.607844,46.235081,"Govisumber",2011,6,10,"cdround","https://www.inaturalist.org/observations/36125526","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2465206498","36125526",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",106.322215,44.946455,"Dundgovi",2011,6,30,"cdround","https://www.inaturalist.org/observations/36125960","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2465300320","36125960",NA,NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",100.5553,45.9422,"Bayankhongor",2011,7,11,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686683521","331396","ASIA","tissue - 100; ETOH - 1","Otziyt Soum, 33 km SW of Bayanhongor",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",106.321089,44.942665,"Dundgovi",2011,7,5,"cdround","https://www.inaturalist.org/observations/36158899","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2465152099","36158899",NA,NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",110.581,43.624,"Dornogovi",2010,6,17,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686674771","331293","ASIA","tissue - 100; ETOH - 1","Dornu Gobi; Ulaan Badrakh Soum, Khar Tsav, 22 km SSE of Ulaan Badrakh",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",106.79352,42.52644,"Omnogovi",2010,6,24,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686678692","331301","ASIA","ETOH - 1; tissue - 100","71 km SW of Bayan Owoo",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",106.253333,42.456667,"Omnogovi",2010,6,27,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686680973","331305","ASIA","ETOH - 1; tissue - 100","Site en route 3",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",105.254,42.482,"Omnogovi",2010,6,30,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686681077","331311","ASIA","ETOH - 1; tissue - 100","Borzon Gobi, Nomgon Sum, Byarcuhai bulag",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",103.407,43.435,"Omnogovi",2010,7,6,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686678075","331330","ASIA","tissue - 100; ETOH - 1","Site en route 2",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",103.919,43.404,"Omnogovi",2010,7,6,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686696181","331320","ASIA","ETOH - 1; tissue - 100","Site en route 4",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",104.15755,43.776183,"Omnogovi",2009,6,11,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686674305","331133","ASIA","ETOH - 1; tissue - 100","Juulchin Gobi Tourist Camp, 30 km. NE of Yolyn Am",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",106.71514,45.01087,"Dundgovi",2009,6,8,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686677966","331152","ASIA","ETOH - 1; tissue - 100","Site 2",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",102.160983,43.853817,"Omnogovi",2009,6,20,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686679119","331173","ASIA","ETOH - 1; tissue - 100","Khongoryn Els, Gobi Gurvansaikhan National Park",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",106.8093,45.137383,"Dundgovi",2009,6,8,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686679874","331142","ASIA","tissue - 100; ETOH - 1","Site 1",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",102.264722,43.805278,"Omnogovi",2009,6,24,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686681797","331101","ASIA","tissue - 100; ETOH - 1","Khongoryn Els, Gobi Gurvansaikhan National Park",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",102.255033,43.773367,"Omnogovi",2009,6,25,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686682495","331220","ASIA","ETOH - 1; tissue - 100","Khongoryn Els, Gobi Gurvansaikhan National Park",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",102.0164,43.867317,"Omnogovi",2009,6,20,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686684677","331091","ASIA","tissue - 100; ETOH - 1","Khongoryn Els, Gobi Gurvansaikhan National Park",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",106.766233,45.339467,"Dundgovi",2009,6,8,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686693049","331139","ASIA","ETOH - 1; tissue - 100","Site 4",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",102.0135,43.86835,"Omnogovi",2009,6,20,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686696758","331092","ASIA","tissue - 100; ETOH - 1","Khongoryn Els, Gobi Gurvansaikhan National Park",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",102.25509,43.77312,"Omnogovi",2009,6,18,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686994596","331086","ASIA","tissue - 100; ETOH - 1","Khongoryn Els, Gobi Gurvansaikhan National Park",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",107.25205,45.68825,"Dundgovi",2009,6,7,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686996403","331138","ASIA","tissue - 100; ETOH - 1","Ikh gazriin chuluu National Park",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",105.65273,44.76346,"Dundgovi",2009,6,8,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686996973","331153","ASIA","ETOH - 1; tissue - 100","Site 3",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",112.020461,43.730844,"Nei Mongol",2009,7,27,"cdround","https://www.inaturalist.org/observations/37235802","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2813899444","37235802",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",110.1363,44.905117,"Dornogovi",2009,8,13,"cdround","https://www.inaturalist.org/observations/26654131","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2265837516","26654131",NA,NA,NA,NA,NA,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Phrynocephalus versicolor",100.067,43.217,NA,2008,8,27,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251017019","R-12837",NA,NA,"Umnegov, Zaaltayskaya Gobi, 90 km E from fruit farm in Echiyn-Gol tract, Serte",1614,0,NA
"040c5662-da76-4782-a48e-cdea1892d14c","MATERIAL_SAMPLE","PRESENT","Phrynocephalus versicolor",103.45,43.383,NA,2008,8,31,"gass84",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2251018026","R-12940",NA,NA,"Umnegov, 8 - 10 km S from Bayan-Dalay somon",1645,0,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",103.900556,45.459167,"Dundgovi",2008,8,9,"","https://www.inaturalist.org/observations/97324787","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384160343","97324787",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",103.727655,44.138322,"Omnogovi",2008,8,10,"","https://www.inaturalist.org/observations/97326069","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384849503","97326069",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",105.124183,44.135906,"Omnogovi",2008,8,10,"","https://www.inaturalist.org/observations/97326078","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384923482","97326078",NA,NA,NA,NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",104.38695,47.7844859990614,"Bulgan Prov.",2007,9,7,"cdrep,cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543595200","238645","ASIA","Alcohol; Tissue: Liver (Ethanol)","6.5 km SW (by air) of Bayannuur, 47 47 4.15 N, 104 23 13.02 E",1021.08,NA,"PhysicalObject"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",106.616667,44.583333,"Dundgovi",2007,9,4,"cdround","https://www.inaturalist.org/observations/32467286","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423001654","32467286",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Phrynocephalus versicolor",104.645525,43.963753,"Omnogovi",2001,8,15,"cdround","https://www.inaturalist.org/observations/70210323","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3058740730","70210323",NA,NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",105,45,NA,1943,6,23,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-109868","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476751768","R-109868","ASIA","whole animal (ethanol)","Mongolia: South Gobi",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Phrynocephalus versicolor",103.865234,46.96587,NA,NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-140164","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476623879","R-140164","ASIA","whole animal (ethanol)","20mi. W. Govt. Camp, 50mi W. Corban Sayan",NA,NA,NA
