"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","elevation","elevationAccuracy","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.145644,22.274153,"Central and Western",2021,7,26,"cdround","https://www.inaturalist.org/observations/88796169","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3333120278","88796169",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.961763,22.402409,"Tuen Mun",2021,8,17,"cdround","https://www.inaturalist.org/observations/91510666","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3338012506","91510666",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.960283,22.402836,"Tuen Mun",2021,8,24,"cdround","https://www.inaturalist.org/observations/92342413","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3343971163","92342413",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.207616,22.257378,"Southern",2021,8,16,"cdround","https://www.inaturalist.org/observations/93127649","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355335376","93127649",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.856672,22.230022,"Islands",2021,9,7,"cdround","https://www.inaturalist.org/observations/93952408","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3355659217","93952408",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.19442,22.256897,"Southern",2021,9,28,"cdround","https://www.inaturalist.org/observations/96669993","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384087713","96669993",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.145532,22.275884,"Central and Western",2021,9,19,"cdround","https://www.inaturalist.org/observations/95379120","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384499423","95379120",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.11765,22.275447,"Central and Western",2021,9,19,"cdround","https://www.inaturalist.org/observations/95365453","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3385185408","95365453",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.098998,22.348842,"Kwai Tsing",2021,10,21,"cdround","https://www.inaturalist.org/observations/98852335","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3398777611","98852335",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.143631,22.274247,"Central and Western",2021,11,13,"cdround","https://www.inaturalist.org/observations/100991483","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415510890","100991483",NA,NA,NA,NA,NA,NA,NA
