"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","preparations","county","elevation","elevationAccuracy","type"
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.57578,25.08743,NA,2017,5,19,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864147077",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.54169,23.94295,NA,2017,9,24,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864154609",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.55993,25.10997,NA,2017,10,15,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864155193",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.49903,23.26993,NA,2017,10,8,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864155412",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.78169,24.79574,NA,2017,11,26,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864157655",NA,NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",124.399888,24.42089,"Okinawa",2016,3,29,"cdround","https://www.inaturalist.org/observations/108501852","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743347681","108501852",NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.401871,25.045293,NA,2016,6,15,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138035",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.33453,24.84006,NA,2016,6,16,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864138165",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.540811,25.123311,NA,2016,8,3,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864140078",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.55993,25.11025,NA,2016,10,9,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864141620",NA,NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.921302,24.256824,"Okinawa",2015,6,23,"cdround","https://www.inaturalist.org/observations/1723440","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1640028153","1723440",NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.454681,23.350769,NA,2015,7,9,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864129842",NA,NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.960598,24.219905,"Okinawa",2015,7,4,"cdround","https://www.inaturalist.org/observations/60354478","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868155181","60354478",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.897289,24.217062,"Okinawa",2015,7,4,"cdround","https://www.inaturalist.org/observations/60354465","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868261466","60354465",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.945956,24.360532,"Okinawa",2015,7,4,"cdround","https://www.inaturalist.org/observations/60354476","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868292330","60354476",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.806595,24.383585,"Okinawa",2015,7,5,"cdround","https://www.inaturalist.org/observations/60354483","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868338511","60354483",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.853095,24.346968,"Okinawa",2015,7,5,"cdround","https://www.inaturalist.org/observations/60354437","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868367520","60354437",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.987152,24.309841,"Okinawa",2015,7,4,"cdround","https://www.inaturalist.org/observations/60354436","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868373511","60354436",NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.494756,23.744799,NA,2015,9,27,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864132210",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.542934,24.913052,NA,2015,10,23,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864133212",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.751588,24.618286,NA,2014,4,26,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864119158",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.516224,24.832048,NA,2014,5,30,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864119824",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.482146,23.327907,NA,2014,7,20,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864122250",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.7617,23.753676,NA,2014,8,11,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864122759",NA,NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.626035,23.624925,"Taiwan",2014,8,11,"cdround","https://www.inaturalist.org/observations/18877084","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1949990455","18877084",NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.497881,23.662126,NA,2014,9,10,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864123719",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.490473,23.220667,NA,2013,4,9,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864113670",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.561832,25.105731,NA,2013,7,8,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864114645",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.797465,21.946071,NA,2013,8,17,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864115615",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.829,22.1662,NA,2013,8,25,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864115755",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.812605,21.956808,NA,2013,8,28,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864115823",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.388244,23.531569,NA,2013,10,13,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864116697",NA,NA,NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Cuora flavomarginata",120.75,22.15,NA,2012,5,14,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774457559",NA,"<U+5927><U+6885><U+6EAA><U+6514><U+7802><U+58E9>",NA,NA,NA,NA,NA,NA
"ee894f1d-22fb-42fc-a681-27e449880366","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.35,23.14,NA,2012,9,6,"cudc",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814570256",NA,NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.77386,23.77818,NA,2012,10,15,"cudc,gass84,rdativ,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864113068",NA,NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",124.184229,24.545993,"Okinawa",2011,6,5,"cdround","https://www.inaturalist.org/observations/121561358","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860769496","121561358",NA,NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Cuora flavomarginata",120.94,24.29,NA,2010,6,3,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774346626",NA,"<U+4E03><U+68DF><U+5BEE><U+92FC><U+9AA8><U+6A4B>",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.793655,23.780563,"Taiwan",2010,7,12,"cdround","https://www.inaturalist.org/observations/17995658","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3008460323","17995658",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",123.754456,24.230701,"Okinawa",2010,11,2,"cdround","https://www.inaturalist.org/observations/37625500","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2557806066","37625500",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",124.061496,24.256485,"Okinawa",2009,4,8,"cdround","https://www.inaturalist.org/observations/73181910","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097055534","73181910",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",121.510422,24.187107,"Taiwan",2009,9,15,"cdround","https://www.inaturalist.org/observations/68825235","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3039183978","68825235",NA,NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Cuora flavomarginata",120.95,24.36,NA,2008,8,11,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774353624",NA,"<U+8C61><U+9F3B><U+5927><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Cuora flavomarginata",120.77,24.34,NA,2008,8,12,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774445614",NA,"<U+9F8D><U+9580><U+6A4B>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Cuora flavomarginata",120.94,24.35,NA,2008,10,16,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774347627",NA,"<U+58EB><U+6797><U+6514><U+6CB3><U+5830><U+4E0A><U+6E38>",NA,NA,NA,NA,NA,NA
"83cbdde7-998f-4354-95de-72d885cc5863","OCCURRENCE","PRESENT","Cuora flavomarginata",120.55,23.43,NA,2006,4,22,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3774441622",NA,"<U+5584><U+7422><U+6A4B>",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Cuora flavomarginata",120.343387,23.249759,"Tainan",2006,8,5,"cdround","https://www.inaturalist.org/observations/15132832","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1890692364","15132832",NA,NA,NA,NA,NA,NA,NA
