"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","continent","preparations","elevation"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.518838,35.838325,"Jeollabuk-do",2020,10,4,"cdround","https://www.inaturalist.org/observations/62271627","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2898413832","62271627",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",126.980699,36.541988,"Chungcheongnam-do",2019,3,31,"cdround","https://www.inaturalist.org/observations/21869487","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2235523307","21869487",NA,NA,NA,NA,NA,NA
"f1c4df18-12d6-40cb-ab51-5bb0d7f08d6e","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",132.16431,43.69993,NA,2019,5,13,"",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3004302420",NA,"Primorsky Krai","Gornotayozhnoye","Event",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",130.714902,49.11642,"Amur",2019,6,30,"cdround","https://www.inaturalist.org/observations/30159860","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2331889806","30159860",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",131.915729,43.030398,"Primor'ye",2019,7,15,"cdround","https://www.inaturalist.org/observations/30089051","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2331873308","30089051",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",133.655176,43.341122,"Primor'ye",2019,7,3,"cdround","https://www.inaturalist.org/observations/37778872","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2563529705","37778872",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",132.121175,43.705469,"Primor'ye",2019,7,14,"cdround","https://www.inaturalist.org/observations/40468259","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2596263516","40468259",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",136.504325,44.990555,"Primor'ye",2019,7,27,"cdround","https://www.inaturalist.org/observations/42944111","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2619886440","42944111",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.465558,38.11955,"Gangwon-do",2019,7,1,"cdround","https://www.inaturalist.org/observations/127435471","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873420143","127435471",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.464722,37.220001,"Gangwon-do",2019,8,12,"cdround","https://www.inaturalist.org/observations/30738356","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2350409525","30738356",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.523424,37.840429,"Gangwon-do",2019,8,31,"cdround","https://www.inaturalist.org/observations/31833897","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422890161","31833897",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",131.843587,42.998581,"Primor'ye",2019,8,26,"cdround","https://www.inaturalist.org/observations/109968735","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759940469","109968735",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",126.605913,36.74223,"Chungcheongnam-do",2019,9,16,"cdround","https://www.inaturalist.org/observations/32829325","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2423101132","32829325",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.279135,36.783505,"Chungcheongnam-do",2019,9,19,"cdround","https://www.inaturalist.org/observations/32994298","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2429251491","32994298",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.327972,37.273583,"Gangwon-do",2019,10,30,"cdround","https://www.inaturalist.org/observations/35436060","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2456520265","35436060",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",134.642778,46.564444,"Primor'ye",2018,5,30,"cdround","https://www.inaturalist.org/observations/16206226","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1913662878","16206226",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.932219,36.139444,"Chungcheongbuk-do",2018,9,30,"cdround","https://www.inaturalist.org/observations/17153823","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1914356013","17153823",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",131.225788,42.604897,"Primor'ye",2018,9,2,"cdround","https://www.inaturalist.org/observations/31305979","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2366154600","31305979",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",126.591766,36.670814,"Chungcheongnam-do",2017,4,9,"","https://www.inaturalist.org/observations/5622191","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573911647","5622191",NA,NA,NA,NA,NA,NA
