"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",125.426704,34.687039,"Jeollanam-do",2021,10,24,"cdround","https://www.inaturalist.org/observations/100127653","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3773302478","100127653",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.500072,36.700602,"Chungcheongnam-do",2020,7,10,"cdround","https://www.inaturalist.org/observations/52944176","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772664353","52944176",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.071111,37.904444,"Gyeonggi-do",2020,10,3,"cdround","https://www.inaturalist.org/observations/61542673","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2883044899","61542673",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.083085,37.945569,"Gyeonggi-do",2020,10,3,"cdround","https://www.inaturalist.org/observations/61543054","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2883086787","61543054",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.434822,37.272307,"Gyeonggi-do",2020,10,22,"cdround","https://www.inaturalist.org/observations/63221314","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2901789202","63221314",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.434822,37.271995,"Gyeonggi-do",2020,10,8,"cdround","https://www.inaturalist.org/observations/62183049","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2901795563","62183049",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.37021,34.533902,"Jeollanam-do",2019,2,23,"cdround","https://www.inaturalist.org/observations/20728171","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2006061834","20728171",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",125.196377,34.68424,"Jeollanam-do",2019,2,28,"cdround","https://www.inaturalist.org/observations/37732302","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802561482","37732302",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.333611,36.18861,"Chungcheongnam-do",2019,5,4,"cdround","https://www.inaturalist.org/observations/25101223","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2242984335","25101223",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.583397,36.691762,"Chungcheongnam-do",2019,6,25,"cdround","https://www.inaturalist.org/observations/27635595","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2447831496","27635595",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.588123,36.74148,"Chungcheongnam-do",2019,7,14,"cdround","https://www.inaturalist.org/observations/28785593","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2294487123","28785593",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",129.08435,35.056161,"Busan",2019,8,6,"cdround","https://www.inaturalist.org/observations/30295499","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2451587874","30295499",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.354645,33.363266,"Jeju",2019,9,10,"cdround","https://www.inaturalist.org/observations/32455804","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2423000592","32455804",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.599562,36.735345,"Chungcheongnam-do",2019,9,16,"cdround","https://www.inaturalist.org/observations/32829509","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2423098319","32829509",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.599352,36.734842,"Chungcheongnam-do",2019,9,16,"cdround","https://www.inaturalist.org/observations/32829518","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2423098352","32829518",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.601405,36.738125,"Chungcheongnam-do",2019,9,16,"","https://www.inaturalist.org/observations/32829568","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2423098660","32829568",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.602872,36.740283,"Chungcheongnam-do",2019,9,16,"cdround","https://www.inaturalist.org/observations/32829457","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2423098861","32829457",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.659183,34.753279,"Jeollanam-do",2018,4,7,"","https://www.inaturalist.org/observations/10699885","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1838025802","10699885",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.171509,37.759998,"Gyeonggi-do",2018,4,30,"cdround","https://www.inaturalist.org/observations/11864995","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1841272647","11864995",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.65904,34.753475,"Jeollanam-do",2018,4,8,"cdround","https://www.inaturalist.org/observations/10689199","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573778087","10689199",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.938139,35.12866,"Gwangju",2018,4,20,"cdround","https://www.inaturalist.org/observations/71616552","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070496622","71616552",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",124.694167,37.979722,"Hwanghae-namdo",2018,5,9,"cdround","https://www.inaturalist.org/observations/17533071","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573793161","17533071",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.607563,36.747248,"Chungcheongnam-do",2018,8,19,"cdround","https://www.inaturalist.org/observations/15675688","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1898806045","15675688",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.268762,36.385482,"Daejeon",2018,8,7,"cdround","https://www.inaturalist.org/observations/15211987","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573787707","15211987",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.638905,34.735132,"Jeollanam-do",2018,10,20,"cdround","https://www.inaturalist.org/observations/17672128","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2451578676","17672128",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.340553,36.217224,"Chungcheongnam-do",2018,10,4,"cdround","https://www.inaturalist.org/observations/17284229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2573792582","17284229",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.284019,35.86946,"Jeollabuk-do",2017,5,4,"","https://www.inaturalist.org/observations/6087487","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1562894143","6087487",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.33562,36.195356,"Chungcheongnam-do",2017,8,22,"cdround","https://www.inaturalist.org/observations/7645568","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1802631259","7645568",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.333689,36.192016,"Chungcheongnam-do",2017,8,22,"cdround","https://www.inaturalist.org/observations/7645572","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1802631260","7645572",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.278336,36.055279,"Jeollabuk-do",2016,5,22,"cdround","https://www.inaturalist.org/observations/3264613","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453088614","3264613",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.544411,35.195221,"Jeollanam-do",2016,5,6,"","https://www.inaturalist.org/observations/3118393","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573805624","3118393",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.641228,34.73694,"Jeollanam-do",2016,5,6,"","https://www.inaturalist.org/observations/3118413","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573975622","3118413",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",128.231478,36.817187,"Gyeongsangbuk-do",2016,6,5,"","https://www.inaturalist.org/observations/3386705","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1272090488","3386705",NA,NA,NA,NA,NA
