"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.491691,33.468418,"Jeju",2021,9,27,"cdround","https://www.inaturalist.org/observations/97326280","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384914481","97326280",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.180859,33.31973,"Jeju",2021,9,8,"cdround","https://www.inaturalist.org/observations/94070559","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384933320","94070559",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",131.170767,42.658722,"Primor'ye",2021,9,18,"","https://www.inaturalist.org/observations/97079378","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3385008175","97079378",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",131.170747,42.658683,"Primor'ye",2021,9,18,"cdround","https://www.inaturalist.org/observations/96799779","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3385018987","96799779",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",130.720122,42.427292,"Primor'ye",2021,9,15,"cdround","https://www.inaturalist.org/observations/97433287","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3385098629","97433287",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",131.173247,42.659125,"Primor'ye",2021,9,18,"cdround","https://www.inaturalist.org/observations/97984573","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3391350071","97984573",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",132.765152,43.106098,"Primor'ye",2021,9,3,"cdround","https://www.inaturalist.org/observations/95041296","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3415900791","95041296",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",128.603918,37.104983,"Gangwon-do",2021,10,3,"cdround","https://www.inaturalist.org/observations/97502143","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384850659","97502143",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.180454,33.320443,"Jeju",2021,10,31,"cdround","https://www.inaturalist.org/observations/99842026","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3407940817","99842026",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.191467,33.318546,"Jeju",2021,10,31,"cdround","https://www.inaturalist.org/observations/99844391","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3407984858","99844391",NA,NA,NA,NA,NA
