"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",106.798681,48.523772,"Tov",2013,6,8,"cdround","https://www.inaturalist.org/observations/63688440","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2963818052","63688440",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",116.019768,39.998726,"Beijing",2013,8,24,"","https://www.inaturalist.org/observations/76047360","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112306873","76047360",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.198728,36.847775,"Chungcheongnam-do",2012,4,15,"","https://www.inaturalist.org/observations/4632606","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1586089287","4632606",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.380914,36.410896,"Chungcheongnam-do",2012,4,17,"","https://www.inaturalist.org/observations/4632638","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1586089288","4632638",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.378996,36.411716,"Chungcheongnam-do",2012,5,2,"cdround","https://www.inaturalist.org/observations/74413","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677272803","74413",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",121.725047,37.409256,"Shandong",2012,5,6,"cdround","https://www.inaturalist.org/observations/18165435","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1935613203","18165435",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.377846,36.412122,"Chungcheongnam-do",2012,6,3,"","https://www.inaturalist.org/observations/4636164","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2574128747","4636164",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.380357,36.411172,"Chungcheongnam-do",2012,6,3,"","https://www.inaturalist.org/observations/4636165","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2574197742","4636165",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",127.717009,37.227526,"Gyeonggi-do",2012,7,26,"","https://www.inaturalist.org/observations/4637102","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677264591","4637102",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",128.090887,35.533972,"Gyeongsangnam-do",2012,7,29,"","https://www.inaturalist.org/observations/4637176","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677264595","4637176",NA,NA,NA,NA,NA,NA,NA
