"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","locality","preparations","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.246188,21.937346,"Yunnan",2018,7,11,"cdround","https://www.inaturalist.org/observations/14685531","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1891293952","14685531",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.608731,20.316745,"Ninh Binh",2018,11,29,"cdround","https://www.inaturalist.org/observations/19264288","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2283002094","19264288",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.935244,20.502838,"Ha Nam",2017,11,2,"cdround","https://www.inaturalist.org/observations/8664510","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1831154211","8664510",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.715722,20.247926,"Ninh Binh",2017,12,20,"cdround","https://www.inaturalist.org/observations/9240615","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1802721905","9240615",NA,NA,NA,NA,NA,NA
"d5fafa95-7de2-48c0-bf10-3480bcca4a2b","PRESERVED_SPECIMEN","PRESENT","Calotes emma",102.2621,22.0705,"Phongsali",2015,5,14,"osiic,incomis,inmafu","https://collections.naturalsciences.org/herpetology/specimen/86533","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1229584508","86533","ASIA","Phongsaly","Phou Dendin National Protected Area, Ban Chaleun",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.71125,20.242381,"Ninh Binh",2014,6,23,"","https://www.inaturalist.org/observations/755898","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044670303","755898",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",105.641815,22.392133,"B<U+1EAF>c K<U+1EA1>n",2013,7,17,"","https://www.inaturalist.org/observations/30871277","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2366041909","30871277",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",100.750465,20.468704,"Bokeo",2013,9,27,"","https://www.inaturalist.org/observations/900810","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070472312","900810",NA,NA,NA,NA,NA,NA
"d5fafa95-7de2-48c0-bf10-3480bcca4a2b","PRESERVED_SPECIMEN","PRESENT","Calotes emma",101.8858,21.3333,"Phongsali",2012,10,18,"osiic,incomis,inmafu","https://collections.naturalsciences.org/herpetology/specimen/80584","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","895453737","80584","ASIA","Boun Tai","Nam Lan Conservation Area, Ban Na Ten Village, 685 m elevation",NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Calotes emma",102.23949,22.38655,"Dien Bien",2011,3,31,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686687581","331502","ASIA",NA,"Sin Thau Village, Muong Nhe Nature Reserve, Camp 1","ETOH - 1; tissue - 100",NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Calotes emma",101.38107,20.970687,"Louang Namtha",2010,5,26,"cdround","https://www.inaturalist.org/observations/80069818","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455302975","80069818",NA,NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Calotes emma",103.216667,21.25,NA,1939,1,15,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-45268","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476699035","R-45268","ASIA",NA,"Ban Nam Khueng,40miles N. of Ban Houei Sai,Laos,Indochina","whole animal (ethanol)",NA,NA
