"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","type","continent","preparations","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",127.786296,26.427306,"Okinawa",2015,5,16,"cdround","https://www.inaturalist.org/observations/60363811","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2868306529","60363811",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Protobothrops flavoviridis",128.221436,26.691637,"Okinawa",2013,6,9,"","https://www.inaturalist.org/observations/469464","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453261965","469464",NA,NA,NA,NA,NA
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",128.93907,27.786052,"Ryukyu",1986,NA,NA,"colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987070805","199974","RYUKYO ARCHEPELAGO TOKUNO SHIMA","PhysicalObject","ASIA","FLUID - 1","KAGOSHIMA PREFECTURE"
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",126.772222,26.351667,"Ryukyu",1956,10,2,"rdativ,colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987147197","117754","KUME-JIMA","PhysicalObject","ASIA","FLUID - 1","OKINAWA PREFECTURE"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",127.940575,26.500373,"Okinawa Prefecture",1948,1,1,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-53636","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476667320","R-53636","Okinawa Id.,Loo Choo Ids",NA,"ASIA","whole animal (ethanol)",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",125.333,24.783,"Okinawa Prefecture",1946,3,2,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55970","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476497680","R-55970","Myiaka Shima Loo Choo Ids",NA,"ASIA","whole animal (ethanol)",NA
"76dd8f0d-2daa-4a69-9fcd-55e04230334a","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",127.72,26.26,"Ryukiu",1946,NA,NA,"colmafu,inmafu","http://portal.vertnet.org/o/cm/herps?id=156896","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1143471903","156896","NEAR TOWN OF NAHA, MACHINATO","PhysicalObject","ASIA","whole animal in alcohol","OKINAWA"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",127.785,26.306,"Okinawa Prefecture",1945,10,15,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-55967","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476693865","R-55967","Sukiran",NA,"ASIA","whole animal (ethanol)",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",128,26.5,NA,1938,10,1,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-44405","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476697714","R-44405","Lu-Chu Ids",NA,"ASIA","whole animal (ethanol)",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",127.999996,26.499999,"Okinawa Pref.",1906,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543496582","14989",NA,"PhysicalObject","ASIA","Alcohol",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Protobothrops flavoviridis",129.35,28.2667,"Kagoshima Prefecture",1871,1,1,"txmathi,colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-7393","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476650761","R-7393","Amani Oshima",NA,"ASIA","whole animal (ethanol); whole animal (miscellaneous)",NA
