"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","county","locality","elevation","elevationAccuracy","type"
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.38092,22.35613,NA,2021,11,1,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591719","202111_08","ASIA","Pingtung","Flower Vase Rock",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.76367,21.95236,NA,2021,11,21,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819593646","202111_57","ASIA","Pingtung","South Bay",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",119.468907,23.477123,"Taiwan",2020,2,17,"cdround","https://www.inaturalist.org/observations/39833978","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2579286530","39833978",NA,NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.48259,22.64003,NA,2020,3,18,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591405","202003_21","ASIA","Taitung","JiZaiJiao",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.37099,22.35332,NA,2020,3,7,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591496","202003_16","ASIA","Pingtung","Beauty Cave",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.5015,22.6812,NA,2020,3,1,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591974","202003_04","ASIA","Taitung","YiXianTian",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.3586,22.33532,NA,2020,4,18,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592931","202004_12","ASIA","Pingtung","Geban Bay (Venice)",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.47007,22.64566,NA,2020,4,28,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819593186","202006_70","ASIA","Taitung","Guiwan",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.49282,22.67783,NA,2020,5,2,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592592","202005_02","ASIA","Taitung","Gongguan",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",119.50239,23.25831,NA,2020,5,16,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592811","202005_46","ASIA","Penghu","Erwen",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.46151,22.67417,NA,2020,6,8,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591673","202006_22","ASIA","Taitung","Airplane dropoff",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.37529,22.35594,NA,2020,6,24,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592665","202006_04","ASIA","Pingtung","Between Beauty Cave to Flower Vase Rock",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.82441,25.13568,NA,2020,6,28,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819593123","202006_05","ASIA","New Taipei","Northeastern coast",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.513443,26.195345,"Okinawa",2020,7,22,"cdround","https://www.inaturalist.org/observations/56001635","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2851207099","56001635",NA,NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.49572,22.67674,NA,2020,8,11,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819593602","202008_40","ASIA","Taitung","General rock",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.80387,25.14208,NA,2020,8,28,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819593802","202008_63","ASIA","Keelung","Northeastern coast",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.49067,22.63851,NA,2020,9,3,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591790","202009_16","ASIA","Taitung","DaBaiSha",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.56885,22.00411,NA,2020,9,22,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592915","202009_52","ASIA","Taitung","ZhongAi Bridge",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.293609,26.320485,"Okinawa",2020,10,15,"cdround","https://www.inaturalist.org/observations/62638640","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2898248283","62638640",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.224411,26.38156,"Okinawa",2020,12,27,"cdround","https://www.inaturalist.org/observations/67245710","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3013919993","67245710",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.297341,26.311859,"Okinawa",2020,12,27,"cdround","https://www.inaturalist.org/observations/67245647","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","3014037055","67245647",NA,NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.39045,22.3478,NA,2019,2,25,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819590718","201902_03","ASIA","Pingtung","YuChengWei (Underwater pipeline)",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.56742,22.00662,NA,2019,6,16,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592663","201906_10","ASIA","Taitung","Santiaogou",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.912411,26.468842,"Okinawa",2019,10,30,"cdround","https://www.inaturalist.org/observations/35111034","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2451679097","35111034",NA,NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.35732,26.20249,NA,2019,11,13,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591615","201911_24","ASIA",NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.36696,22.32458,NA,2018,3,21,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592223","201803_35","ASIA","Pingtung","Houshi Fringing Reef",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.6501,23.9844,NA,2018,6,24,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591225","201806_31","ASIA","Hualien",NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.47185,22.65619,NA,2018,6,10,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592930","201806_11","ASIA","Taitung","ShiLang (Big Mushroom)",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.26373,22.62589,NA,2018,7,22,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591409","201807_27","ASIA","Kaohsiung","Sizihwan",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.5657,22.05768,NA,2018,8,8,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819592080","201808_10","ASIA","Taitung","DongQing Bay",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.55925,22.0816,NA,2018,8,6,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819593485","201808_11","ASIA","Taitung","Muji Rock",NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.35575,22.32205,NA,2018,10,20,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819590719","201810_12","ASIA","Pingtung","HaiTzuKou",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.944692,26.48284,"Okinawa",2017,2,5,"cdround","https://www.inaturalist.org/observations/5111659","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1500221533","5111659",NA,NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.36289,22.34994,NA,2017,5,29,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819590822","201706_01","ASIA","Pingtung","Duozaiping",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.338372,26.042709,"Okinawa",2017,7,2,"cdround","https://www.inaturalist.org/observations/7143530","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1584408003","7143530",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.736066,26.524214,"Okinawa",2017,7,30,"cdround","https://www.inaturalist.org/observations/7567256","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415446319","7567256",NA,NA,NA,NA,NA,NA
"336b6790-062f-407f-a783-2f1d8874e6c3","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",120.37275,22.32994,NA,2017,10,10,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3819591982","201710_05","ASIA","Pingtung","West Dafu (Wanzai)",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.366844,26.373445,"Okinawa",2016,5,22,"cdround","https://www.inaturalist.org/observations/3992809","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1305171303","3992809",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.412113,23.175392,"Taiwan",2016,7,30,"cdround","https://www.inaturalist.org/observations/83611239","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3314245807","83611239",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.185846,22.832546,NA,2016,9,23,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864140964",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.371753,26.22272,"Okinawa",2016,11,13,"cdround","https://www.inaturalist.org/observations/7417366","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1586926383","7417366",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.838615,26.569469,"Okinawa",2015,10,10,"cdround","https://www.inaturalist.org/observations/4281231","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453122407","4281231",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.399947,26.308841,"Okinawa",2014,7,28,"cdround","https://www.inaturalist.org/observations/4047042","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1306587468","4047042",NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.403856,23.126238,NA,2014,7,29,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864122506",NA,NA,NA,NA,NA,NA,NA
"db09684b-0fd1-431e-b5fa-4c1532fbdb14","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",121.37737,23.097438,NA,2014,7,28,"cudc,gass84,rdativ,txmatfuz,osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1864122683",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",107.188158,20.659583,"H<U+1EA3>i Phong",2013,3,30,"cdround","https://www.inaturalist.org/observations/23040590","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044638365","23040590",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",106.978715,20.611142,"H<U+1EA3>i Phong",2013,5,19,"cdround","https://www.inaturalist.org/observations/27849846","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2283063093","27849846",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",107.116953,20.746451,"H<U+1EA3>i Phong",2013,6,20,"cdround","https://www.inaturalist.org/observations/23040589","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3044582361","23040589",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.689722,26.540502,"Okinawa",2012,9,21,"cdround","https://www.inaturalist.org/observations/4070809","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453111497","4070809",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eretmochelys imbricata",127.79374,26.253637,"Okinawa",2011,1,19,"cdround","https://www.inaturalist.org/observations/4070800","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1453111489","4070800",NA,NA,NA,NA,NA,NA
"13ad6e77-4d29-42cc-a2fb-b021edf5e450","PRESERVED_SPECIMEN","PRESENT","Eretmochelys imbricata",128.39154,34.737343,"Gyeongsangnam-do",NA,NA,NA,"cdround,gass84,rdativ,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3418979324","MABIK AR00000056",NA,"Tongyeong-si","Sanyang-eup",NA,NA,NA
