"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","county","preparations","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",120.718594,22.912075,"Kaohsiung",2021,3,13,"cdround","https://www.inaturalist.org/observations/71113843","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3061666740","71113843",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.627195,25.139016,"New Taipei",2021,3,28,"cdround","https://www.inaturalist.org/observations/72239478","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070355692","72239478",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.85977,22.205448,"Islands",2021,3,27,"cdround","https://www.inaturalist.org/observations/72160000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070365628","72160000",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.09903,22.319076,"Tsuen Wan",2021,3,30,"cdround","https://www.inaturalist.org/observations/72511387","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3070667606","72511387",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.852202,24.603224,"Taiwan",2021,4,1,"cdround","https://www.inaturalist.org/observations/72590772","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3070634603","72590772",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.471388,24.959295,"New Taipei",2021,4,1,"cdround","https://www.inaturalist.org/observations/72606197","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3079687224","72606197",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",120.43415,23.31357,"Tainan",2021,4,18,"","https://www.inaturalist.org/observations/74483307","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097184113","74483307",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.141242,22.448173,"Tai Po",2021,4,17,"cdround","https://www.inaturalist.org/observations/74242733","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3097313779","74242733",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.004782,22.301029,"Tsuen Wan",2021,4,25,"cdround","https://www.inaturalist.org/observations/75178463","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3109020908","75178463",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.8258,22.249627,"Islands",2021,4,22,"cdround","https://www.inaturalist.org/observations/74996390","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3109150616","74996390",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.528144,23.797711,"Taiwan",2021,4,24,"cdround","https://www.inaturalist.org/observations/78198018","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113276263","78198018",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.586023,25.123386,"Taipei",2021,4,30,"cdround","https://www.inaturalist.org/observations/76935412","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3325519398","76935412",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.976411,22.239859,"Islands",2021,5,3,"cdround","https://www.inaturalist.org/observations/76892340","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112440886","76892340",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.550987,25.155228,"Taipei",2021,5,2,"cdround","https://www.inaturalist.org/observations/76841041","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112814716","76841041",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.155384,22.279055,"Tsuen Wan",2021,5,4,"cdround","https://www.inaturalist.org/observations/77273201","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3112911350","77273201",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.800297,22.236647,"Islands",2021,5,8,"cdround","https://www.inaturalist.org/observations/77881334","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113264874","77881334",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.020231,22.265304,"Tsuen Wan",2021,5,13,"cdround","https://www.inaturalist.org/observations/78590121","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3113364826","78590121",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.547852,25.155748,"Taipei",2021,5,7,"cdround","https://www.inaturalist.org/observations/77714047","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113438687","77714047",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.803757,22.35856,"Islands",2021,5,10,"cdround,cudc","https://www.inaturalist.org/observations/78297705","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3113517436","78297705",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.347545,23.303697,"Guangdong",2021,5,7,"cdround","https://www.inaturalist.org/observations/77805672","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3113562804","77805672",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.500677,24.937056,"New Taipei",2021,5,14,"cdround","https://www.inaturalist.org/observations/79387696","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3118192536","79387696",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.936467,22.287019,"Islands",2021,5,15,"cdround","https://www.inaturalist.org/observations/78818964","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3118325821","78818964",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.144042,22.385014,"Tsuen Wan",2021,5,23,"cdround","https://www.inaturalist.org/observations/79874314","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3124805117","79874314",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.857645,22.332694,"Islands",2021,5,26,"cdround,cudc","https://www.inaturalist.org/observations/80433309","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3124912020","80433309",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.22463,23.243315,"Guangdong",2021,5,28,"cdround","https://www.inaturalist.org/observations/82127010","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3301817354","82127010",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.99923,22.255658,"Islands",2021,5,23,"cdround","https://www.inaturalist.org/observations/79907476","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3301840701","79907476",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.14378,22.385107,"Tsuen Wan",2021,5,30,"cdround","https://www.inaturalist.org/observations/81135546","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3301986865","81135546",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.143784,22.385128,"Tsuen Wan",2021,5,30,"cdround","https://www.inaturalist.org/observations/81135581","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302401791","81135581",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.487283,25.152793,"New Taipei",2021,5,15,"cdround","https://www.inaturalist.org/observations/81136919","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3302527979","81136919",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",117.653779,26.335476,"Fujian",2021,5,3,"cdround","https://www.inaturalist.org/observations/101237820","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3416192455","101237820",NA,NA,NA,NA,NA,NA,NA
