"","species","long","lat","pa"
"62","G.brevicauda",128.853219,35.530594,1
"63","G.brevicauda",129.083786,35.350282,1
"64","G.brevicauda",128.454306,35.368167,1
"65","G.brevicauda",127.988614,35.543856,1
"66","G.brevicauda",127.947897,35.562928,1
"67","G.brevicauda",128.481417,35.337806,1
"68","G.brevicauda",128.494028,35.276972,1
"69","G.brevicauda",128.430417,35.385,1
"70","G.brevicauda",128.446722,35.381833,1
"71","G.brevicauda",128.406222,35.314056,1
"72","G.brevicauda",127.923972,35.5515,1
"73","G.brevicauda",127.915833,35.564139,1
"74","G.brevicauda",127.905444,35.529472,1
"75","G.brevicauda",127.911083,35.542028,1
"76","G.brevicauda",127.933778,35.525111,1
"77","G.brevicauda",127.814833,35.495389,1
"78","G.brevicauda",127.821,35.542583,1
"79","G.brevicauda",127.848389,35.528611,1
"80","G.brevicauda",127.929889,35.488389,1
"81","G.brevicauda",128.08117,35.57838,1
"82","G.brevicauda",128.0125,34.818611,1
"83","G.brevicauda",128.997639,35.292806,1
"84","G.brevicauda",128.906917,35.373056,1
"85","G.brevicauda",128.674167,36.986389,1
"86","G.brevicauda",129.335833,36.82,1
"87","G.brevicauda",128.760556,36.912222,1
"88","G.brevicauda",129.298333,36.855278,1
"89","G.brevicauda",129.11735,36.976942,1
"90","G.brevicauda",129.354314,35.722428,1
"91","G.brevicauda",128.920556,35.673611,1
"92","G.brevicauda",129.267608,35.658725,1
"93","G.brevicauda",128.309617,35.729064,1
"94","G.brevicauda",129.246131,36.933969,1
"95","G.brevicauda",128.662778,36.921111,1
"96","G.brevicauda",129.429056,35.660694,1
"97","G.brevicauda",128.699658,35.731194,1
"98","G.brevicauda",128.691389,36.954167,1
"99","G.brevicauda",129.39005,35.696189,1
"100","G.brevicauda",129.386556,35.719281,1
"101","G.brevicauda",128.598889,36.772778,1
"102","G.brevicauda",129.389444,36.794167,1
"103","G.brevicauda",128.525556,36.835556,1
"104","G.brevicauda",128.5475,36.838333,1
"105","G.brevicauda",128.932181,36.929764,1
"106","G.brevicauda",128.785556,36.763889,1
"107","G.brevicauda",128.808056,36.809722,1
"108","G.brevicauda",128.866389,36.866389,1
"109","G.brevicauda",128.723611,36.784444,1
"110","G.brevicauda",129.023611,36.991389,1
"111","G.brevicauda",128.769333,36.507017,1
"112","G.brevicauda",128.457306,35.838306,1
"113","G.brevicauda",128.793336,36.615328,1
"114","G.brevicauda",128.921453,36.556778,1
"115","G.brevicauda",128.624722,36.633611,1
"116","G.brevicauda",128.100056,35.950528,1
"117","G.brevicauda",128.465376,36.459265,1
"118","G.brevicauda",128.150861,35.967056,1
"119","G.brevicauda",128.188167,35.974417,1
"120","G.brevicauda",128.359213,36.31445,1
"121","G.brevicauda",128.113944,35.925389,1
"122","G.brevicauda",128.370125,36.387047,1
